Tarih,Tahmini_Fiyat
2026-01-01,42.84575245731298
2026-01-02,42.871312193853136
2026-01-03,42.89687193039329
2026-01-04,42.92243166693344
2026-01-05,42.947991403473594
2026-01-06,42.97355114001375
2026-01-07,42.9991108765539
2026-01-08,43.02467061309405
2026-01-09,43.050230349634205
2026-01-10,43.07579008617436
2026-01-11,43.10134982271451
2026-01-12,43.12690955925467
2026-01-13,43.152469295794816
2026-01-14,43.178029032334976
2026-01-15,43.20358876887512
2026-01-16,43.22914850541528
2026-01-17,43.254708241955434
2026-01-18,43.28026797849559
2026-01-19,43.30582771503574
2026-01-20,43.33138745157589
2026-01-21,43.356947188116045
2026-01-22,43.3825069246562
2026-01-23,43.40806666119635
2026-01-24,43.433626397736504
2026-01-25,43.459186134276656
2026-01-26,43.48474587081681
2026-01-27,43.51030560735696
2026-01-28,43.535865343897115
2026-01-29,43.56142508043727
2026-01-30,43.58698481697742
